dataset,method,sample_size,sample_pct,dataset_size,recall,precision,igd,hv_diff,pred_pf_size,true_pf_size,repeat
SS-M,LHS,100,11.57,864,0.2857142857142857,0.25,0.0024895188851215317,9.99999999999978e-05,8,7,11
SS-M,LHS,100,11.57,864,0.14285714285714285,0.3333333333333333,0.003000167440592955,0.0,3,7,12
SS-M,LHS,100,11.57,864,0.2857142857142857,0.5,0.0030372108312379984,9.99999999999978e-05,4,7,13
SS-M,LHS,100,11.57,864,0.2857142857142857,0.15384615384615385,0.0022256460842362447,9.99999999999978e-05,13,7,14
SS-M,LHS,100,11.57,864,0.14285714285714285,0.2,0.0035988576314607023,0.0,5,7,15
SS-M,LHS,100,11.57,864,0.42857142857142855,0.3333333333333333,0.0025248446636809896,0.0,9,7,16
SS-M,LHS,100,11.57,864,0.2857142857142857,1.0,0.004287714916040063,0.0,2,7,17
SS-M,LHS,100,11.57,864,0.0,0.0,0.002855355594894663,0.0001999999999999956,4,7,18
SS-M,LHS,100,11.57,864,0.14285714285714285,0.2,0.0032450216318324386,0.0,5,7,19
SS-M,Sobol,100,11.57,864,0.14285714285714285,0.1111111111111111,0.0020339231475421066,0.0,9,7,0
SS-M,Sobol,100,11.57,864,0.14285714285714285,0.1111111111111111,0.0028142288972958845,0.0,9,7,1
SS-M,Sobol,100,11.57,864,0.0,0.0,0.003297044834304608,0.0001999999999999956,4,7,2
SS-M,Sobol,100,11.57,864,0.0,0.0,0.002514015104185486,0.0,8,7,3
SS-M,Sobol,100,11.57,864,0.42857142857142855,0.375,0.0019833003921420067,0.0,8,7,4
SS-M,Sobol,100,11.57,864,0.14285714285714285,1.0,0.006167638127831736,0.0,1,7,5
SS-M,Sobol,100,11.57,864,0.0,0.0,0.0029002984069890834,9.99999999999978e-05,5,7,6
SS-M,Sobol,100,11.57,864,0.2857142857142857,0.6666666666666666,0.002937449277931278,0.0,3,7,7
SS-M,Sobol,100,11.57,864,0.14285714285714285,0.2,0.0029508745437670523,9.99999999999978e-05,5,7,8
SS-M,Sobol,100,11.57,864,0.14285714285714285,0.25,0.0040912034741089984,0.0,4,7,9
SS-M,Sobol,100,11.57,864,0.14285714285714285,1.0,0.006167638127831736,0.0,1,7,10
SS-M,Sobol,100,11.57,864,0.2857142857142857,0.4,0.0026732763557717532,0.0001000100010000978,5,7,11
SS-M,Sobol,100,11.57,864,0.42857142857142855,0.6,0.0020872218461599123,0.0,5,7,12
SS-M,Sobol,100,11.57,864,0.2857142857142857,1.0,0.003509049338565922,0.0,2,7,13
SS-M,Sobol,100,11.57,864,0.14285714285714285,0.3333333333333333,0.0026977758507501838,0.0,3,7,14
SS-M,Sobol,100,11.57,864,0.0,0.0,0.0020861241564940286,0.0,8,7,15
SS-M,Sobol,100,11.57,864,0.14285714285714285,0.3333333333333333,0.004135862284647743,0.0,3,7,16
SS-M,Sobol,100,11.57,864,0.0,0.0,0.0023437288522783306,0.0,7,7,17
SS-M,Sobol,100,11.57,864,0.2857142857142857,1.0,0.003513539378080311,0.0,2,7,18
SS-M,Sobol,100,11.57,864,0.14285714285714285,0.3333333333333333,0.0034014684531048648,0.00030003000300029344,3,7,19
SS-M,ActiveLearning,100,11.57,864,0.0,0.0,0.0033780442878049125,0.0001000100010000978,2,7,0
