dataset,method,sample_size,recall_mean,recall_median,recall_std,recall_min,recall_max,precision_mean,precision_median,precision_std,precision_min,precision_max,igd_mean,igd_median,igd_std,igd_min,igd_max,hv_diff_mean,hv_diff_median,hv_diff_std,hv_diff_min,hv_diff_max,sample_pct_first,dataset_size_first,pred_pf_size_mean,true_pf_size_first
home_data,Diversity,50,0.3583,0.3333,0.0611,0.3333,0.5,0.5698,0.6333,0.109,0.4,0.6667,0.2323,0.2285,0.018,0.2121,0.2836,0.0241,0.0209,0.0166,0.0005,0.0647,3.42,1460,3.95,6
home_data,Diversity,100,0.4083,0.3333,0.1144,0.3333,0.6667,0.4726,0.4643,0.1062,0.2857,0.6667,0.2192,0.2201,0.0256,0.1517,0.2414,0.0351,0.0366,0.0154,0.0002,0.0583,6.85,1460,5.25,6
home_data,Diversity,200,0.6833,0.6667,0.1068,0.5,0.8333,0.6952,0.6667,0.1534,0.5,1.0,0.1196,0.1159,0.0353,0.0638,0.1543,0.0147,0.016,0.0113,0.0003,0.0369,13.7,1460,6.0,6
home_data,Diversity,250,0.6667,0.6667,0.1081,0.5,0.8333,0.6626,0.6667,0.0965,0.5,1.0,0.1317,0.153,0.0298,0.0623,0.1543,0.012,0.0101,0.0078,0.001,0.0269,17.12,1460,6.05,6
home_data,LHS,50,0.4,0.5,0.1368,0.0,0.5,0.2007,0.1208,0.1912,0.0,0.6,0.3735,0.3866,0.0745,0.2587,0.4869,0.4169,0.506,0.2186,0.0203,0.7009,3.42,1460,31.8,6
home_data,LHS,100,0.4583,0.5,0.074,0.3333,0.5,0.3865,0.25,0.2612,0.0833,0.75,0.2914,0.2808,0.0552,0.1765,0.4214,0.2611,0.3748,0.2178,0.0028,0.5246,6.85,1460,11.65,6
home_data,LHS,200,0.6417,0.6667,0.0611,0.5,0.6667,0.7575,0.8,0.1017,0.4286,0.8,0.1887,0.1836,0.0164,0.1756,0.2386,0.0167,0.0173,0.0103,0.0,0.0359,13.7,1460,5.15,6
home_data,LHS,250,0.6417,0.6667,0.0816,0.5,0.8333,0.7708,0.8,0.105,0.3333,0.8333,0.1809,0.1757,0.0148,0.146,0.2179,0.0268,0.0183,0.039,0.0002,0.187,17.12,1460,5.1,6
home_data,Random,50,0.275,0.3333,0.2043,0.0,0.6667,0.058,0.024,0.1449,0.0,0.6667,0.3785,0.3799,0.0757,0.1862,0.5031,0.4914,0.549,0.1965,0.0538,0.7327,3.42,1460,55.35,6
home_data,Random,100,0.3,0.3333,0.2066,0.0,0.6667,0.091,0.075,0.1144,0.0,0.5,0.3466,0.3383,0.0701,0.2304,0.5058,0.4029,0.4218,0.158,0.0462,0.6615,6.85,1460,36.15,6
home_data,Random,200,0.3333,0.3333,0.223,0.0,1.0,0.1495,0.0799,0.1806,0.0,0.6667,0.3279,0.3157,0.0641,0.2458,0.5603,0.3814,0.4718,0.1754,0.0119,0.5749,13.7,1460,26.9,6
home_data,Random,250,0.3167,0.3333,0.142,0.1667,0.6667,0.1509,0.0926,0.1517,0.0238,0.5,0.3061,0.3016,0.0507,0.2001,0.4068,0.3999,0.4646,0.1552,0.0308,0.6035,17.12,1460,25.2,6
home_data,Sobol,50,0.35,0.3333,0.152,0.0,0.6667,0.1473,0.0952,0.1455,0.0,0.5,0.3739,0.366,0.0729,0.2427,0.5029,0.4662,0.5223,0.198,0.0056,0.6772,3.42,1460,23.3,6
home_data,Sobol,100,0.4333,0.5,0.1257,0.1667,0.6667,0.4073,0.4,0.2735,0.0588,0.8,0.2957,0.2982,0.0487,0.1792,0.3848,0.2243,0.0892,0.2151,0.0043,0.4973,6.85,1460,10.3,6
home_data,Sobol,200,0.5833,0.6667,0.1268,0.3333,0.8333,0.7044,0.8,0.2129,0.1538,1.0,0.2093,0.1906,0.0466,0.12,0.327,0.0683,0.0172,0.1286,0.0017,0.4261,13.7,1460,5.65,6
home_data,Sobol,250,0.6333,0.6667,0.0684,0.5,0.6667,0.79,0.8,0.0205,0.75,0.8,0.1863,0.1831,0.0194,0.1683,0.2443,0.0177,0.0108,0.0166,0.0017,0.0544,17.12,1460,4.8,6
home_data,Stratified,50,0.2833,0.25,0.1957,0.0,0.6667,0.0666,0.037,0.0897,0.0,0.3333,0.3775,0.3688,0.0454,0.3084,0.4739,0.4715,0.4567,0.1562,0.153,0.6993,3.42,1460,65.65,6
home_data,Stratified,100,0.2917,0.3333,0.1611,0.0,0.6667,0.1252,0.0616,0.2177,0.0,1.0,0.3561,0.3433,0.0719,0.2432,0.5411,0.3669,0.3637,0.1817,0.0704,0.6688,6.85,1460,28.4,6
